project,project_repo,project_version,build_system,ov_count,mis_count,mos_count,ov_fp,mis_fp,mos_fp,pr_status,comment
amb-plugins,https://salsa.debian.org/multimedia-team/amb-plugins,ef31ae1c8b2ee90290a76671eb68d38f3a7782e8,make,0,16,0,0,0,0,opened,
sysvinit,https://salsa.debian.org/debian/sysvinit,a23b92601a7964be3873605cd0cf147b8e300288,make,0,7,0,0,0,0,opened,
autofs,https://salsa.debian.org/debian/autofs/,,make,0,6,1,0,0,0,,I don't know how to submit a patch https://kernel.googlesource.com/pub/scm/linux/storage/autofs/autofs/; ambiguous rebuilds
autossh,https://salsa.debian.org/debian/autossh,0c1bb008e790307b87c7533c4d9df936cc8cca2f,make,0,1,0,0,1,0,-,False positive because config.h created by configure
hdparm,https://salsa.debian.org/debian/hdparm/,3eee94f3bff659f5789ef84b1976960f5ce30e59,make,0,9,0,0,0,0,opened,
i3status,https://salsa.debian.org/i3-team/i3status/tree/master/debian,02705f8792c5fded19e180f5733f86ca23f707e7,make,0,2,0,0,2,0,-,open here https://github.com/i3/i3status; false positives (configure;Makefile.am) task print_volume.o doesn't seem to exist (i3status-print_volume.o exist)
iputils,https://github.com/iputils/iputils,,make,,,,,,,,ambiguous build system (ninja)
joystick,https://salsa.debian.org/debian/joystick/,54b161299df2deb9ea7f843fbf1be10ca5ac1a84,make,0,3,0,0,0,0,fixed,
libgsm,https://github.com/timothytylee/libgsm,,make,0,1,1,0,1,1,-,it seems like a false positive because it link the static library and it has a dependency in the static library
libogg,https://github.com/gcp/libogg,,make,,,,,,,,todo
mutt,https://salsa.debian.org/mutt-team/mutt,,make,,,,,,,,false positives; config.h generated automatically and manual.xml is a doc file (automatically generated); maybe we should check fo config.h.i when config.h is a missing input
xsel,https://salsa.debian.org/debian/xsel,7764c7f8a700051fa23666c8a229b75e20d9a36d,make,0,3,0,0,2,0,,open here https://github.com/kfish/xsel; 1 error but the use Makefile.am etc; false positives; config.h and Makefile
gps-sdr-sim,https://github.com/osqzss/gps-sdr-sim,1506e5414f855159df7316b63343cc5c325bd8b0,make,0,1,0,0,0,0,fixed,
webdis,https://github.com/nicolasff/webdis,b91f10ce7313233da353e8aef44242f47f66f2fb,make,0,99,0,0,0,0,fixed,
